time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2023-12-29 20:20:00+00:00,1.10483,1.10487,1.10474,1.10479,443.0,4,29,52,12,2023,20,-0.866025,0.5,4,0.866025,-0.5,0,1,0,EURUSD,0.8239845261121843,0.7938342967244694,0.8498527968596647,0.8206364513018372,-0.880806,1.10559,1.103606,-0.606,-0.493469,1.10634,1.108392,-0.257475,0.000652,-0.000226,0.000118
2023-12-29 20:25:00+00:00,1.10479,1.1048,1.10468,1.10474,425.0,4,29,52,12,2023,20,-0.866025,0.5,5,0.5,-0.866025,0,1,0,EURUSD,0.8201160541586034,0.7870905587668631,0.8439646712463258,0.815814850530387,-0.80085,1.105404,1.103697,-0.620222,-0.494547,1.106333,1.108382,-0.260053,0.000398,-0.000425,0.000109
2023-12-29 20:30:00+00:00,1.10474,1.10474,1.10458,1.10466,530.0,4,29,52,12,2023,20,-0.866025,0.5,6,0.0,-1.0,0,1,0,EURUSD,0.8152804642166416,0.7813102119460638,0.8341511285573944,0.8081002892960498,-0.729778,1.105301,1.103737,-0.643005,-0.495396,1.106325,1.108372,-0.259022,-0.000217,-0.000787,0.000145
2023-12-29 20:35:00+00:00,1.10466,1.10468,1.10445,1.10449,474.0,4,29,52,12,2023,20,-0.866025,0.5,7,-0.5,-0.866025,0,1,0,EURUSD,0.8075435203094798,0.7755298651252502,0.8213935230618148,0.7917068466731081,-0.670551,1.105168,1.103789,-0.691373,-0.495952,1.106317,1.108362,-0.260311,-0.000416,-0.000877,0.000208
2023-12-29 20:40:00+00:00,1.10448,1.10453,1.1043,1.1043,529.0,4,29,52,12,2023,20,-0.866025,0.5,8,-0.866025,-0.5,0,1,0,EURUSD,0.790135396518366,0.7610789980732164,0.8066732090284603,0.7733847637415749,-0.632054,1.105087,1.103798,-0.745275,-0.496172,1.106307,1.108351,-0.257217,-0.000489,-0.00151,0.000208
2023-12-29 20:45:00+00:00,1.10431,1.10434,1.10411,1.10417,617.0,4,29,52,12,2023,20,-0.866025,0.5,9,-1.0,-0.0,0,1,0,EURUSD,0.7736943907156615,0.7427745664739973,0.7880274779195275,0.7608486017357876,-0.614286,1.105065,1.103771,-0.782075,-0.495968,1.106298,1.10834,-0.255412,-0.000561,-0.001375,0.000208
2023-12-29 20:50:00+00:00,1.10416,1.10423,1.10395,1.10399,765.0,4,29,52,12,2023,20,-0.866025,0.5,10,-0.866025,0.5,0,1,0,EURUSD,0.7591876208897617,0.7321772639691773,0.7723258096172714,0.7434908389585502,-0.614286,1.105059,1.103719,-0.832926,-0.495412,1.106288,1.108329,-0.251545,-0.000679,-0.001176,0.000254
2023-12-29 20:55:00+00:00,1.10398,1.10416,1.10383,1.10409,912.0,4,29,52,12,2023,20,-0.866025,0.5,11,-0.5,0.866025,0,1,0,EURUSD,0.7417794970986478,0.725433526011571,0.7605495583905935,0.7531340405014504,-0.62317,1.105037,1.103689,-0.801711,-0.494592,1.10628,1.108317,-0.25335,-0.000516,-0.001095,0.000299
2023-12-29 21:00:00+00:00,1.10411,1.10411,1.10376,1.10379,515.0,4,29,52,12,2023,21,-0.707107,0.707107,0,0.0,1.0,0,0,0,EURUSD,0.7543520309477714,0.7206165703275502,0.7536800785083528,0.7242044358727213,-0.64686,1.105055,1.103613,-0.886348,-0.493621,1.106271,1.108305,-0.253608,-0.000634,-0.001113,0.000317
2023-12-29 21:05:00+00:00,1.10379,1.10384,1.10361,1.10361,502.0,4,29,52,12,2023,21,-0.707107,0.707107,1,0.5,0.866025,0,0,0,EURUSD,0.7234042553191671,0.6946050096339036,0.7389597644749699,0.7068466730954697,-0.685358,1.105094,1.103526,-0.936876,-0.492322,1.106261,1.108293,-0.254897,-0.000625,-0.000951,0.000208
