time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2022-07-03 21:00:00+00:00,1.04174,1.0423,1.04142,1.0423,3.0,6,3,26,7,2022,21,-0.707107,0.707107,0,0.0,1.0,0,0,0,EURUSD,-5.277562862669214,-5.234104046242734,-5.364082433758497,-5.205400192864033,0.194934,1.04312,1.042257,-0.554125,-0.360491,1.044052,1.044399,1.064073,-0.000307,-0.000499,0.000844
2022-07-03 21:05:00+00:00,1.0423,1.0423,1.0423,1.0423,12.0,6,3,26,7,2022,21,-0.707107,0.707107,1,0.5,0.866025,0,0,0,EURUSD,-5.223404255319139,-5.234104046242734,-5.277723258096088,-5.205400192864033,0.147392,1.043018,1.042264,-0.554125,-0.361062,1.044033,1.044396,1.055561,-0.000307,-0.000575,0.0
2022-07-03 21:10:00+00:00,1.0423,1.04241,1.0423,1.04237,33.0,6,3,26,7,2022,21,-0.707107,0.707107,2,0.866025,0.5,0,0,0,EURUSD,-5.223404255319139,-5.223506743737914,-5.277723258096088,-5.198649951783992,0.099851,1.042865,1.042329,-0.537992,-0.361825,1.044016,1.044393,1.051434,-0.00024,-0.000604,0.000106
2022-07-03 21:15:00+00:00,1.04231,1.04245,1.0421,1.0421,115.0,6,3,26,7,2022,21,-0.707107,0.707107,3,1.0,0.0,0,0,0,EURUSD,-5.222437137330729,-5.219653179190715,-5.297350343473909,-5.224686595949848,0.043396,1.042872,1.042243,-0.59616,-0.362265,1.043997,1.04439,1.055045,-0.000499,-0.000834,0.000336
2022-07-03 21:20:00+00:00,1.0421,1.04233,1.04173,1.04225,118.0,6,3,26,7,2022,21,-0.707107,0.707107,4,0.866025,-0.5,0,0,0,EURUSD,-5.242746615087029,-5.231213872832342,-5.3336604514228725,-5.2102217936354975,-0.007117,1.04287,1.0422,-0.561457,-0.362116,1.043978,1.044387,1.063557,-0.000355,-0.000882,0.000576
2022-07-03 21:25:00+00:00,1.04226,1.04236,1.04218,1.04222,29.0,6,3,26,7,2022,21,-0.707107,0.707107,5,0.5,-0.866025,0,0,0,EURUSD,-5.2272727272727195,-5.228323699421935,-5.289499509322766,-5.21311475409837,-0.054658,1.042873,1.042155,-0.56794,-0.36202,1.043959,1.044383,1.066394,-7.7e-05,-0.000987,0.000173
2022-07-03 21:30:00+00:00,1.04218,1.04239,1.04218,1.04223,69.0,6,3,26,7,2022,21,-0.707107,0.707107,6,0.0,-1.0,0,0,0,EURUSD,-5.235009671179853,-5.225433526011528,-5.289499509322766,-5.2121504339440605,-0.096257,1.042863,1.04212,-0.565615,-0.361978,1.04394,1.04438,1.068199,-6.7e-05,-0.000978,0.000201
2022-07-03 21:35:00+00:00,1.04224,1.0423,1.0422,1.04223,45.0,6,3,26,7,2022,21,-0.707107,0.707107,7,-0.5,-0.866025,0,0,0,EURUSD,-5.229206963249496,-5.234104046242734,-5.287536800784991,-5.2121504339440605,-0.131913,1.042856,1.042088,-0.565615,-0.361936,1.043922,1.044376,1.065362,-0.000134,-0.000633,9.6e-05
2022-07-03 21:40:00+00:00,1.04223,1.04233,1.0422,1.04221,31.0,6,3,26,7,2022,21,-0.707107,0.707107,8,-0.866025,-0.5,0,0,0,EURUSD,-5.230174081237891,-5.231213872832342,-5.287536800784991,-5.214079074252638,-0.164598,1.042846,1.042057,-0.56998,-0.361948,1.043902,1.044372,1.060462,0.000106,-0.00047,0.000125
2022-07-03 21:45:00+00:00,1.04221,1.04238,1.04221,1.04232,78.0,6,3,26,7,2022,21,-0.707107,0.707107,9,-1.0,-0.0,0,0,0,EURUSD,-5.232108317214681,-5.226396917148321,-5.286555446516104,-5.203471552555456,-0.185397,1.042827,1.042046,-0.544183,-0.36205,1.043884,1.044368,1.058656,6.7e-05,-0.000307,0.000163
