time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2023-02-03 20:20:00+00:00,1.08009,1.08012,1.07982,1.07984,957.0,4,3,5,2,2023,20,-0.866025,0.5,4,0.866025,-0.5,0,1,0,EURUSD,-1.5686653771760035,-1.5905587668593313,-1.5956820412168469,-1.5853423336547792,-1.671467,1.081467,1.079823,-1.908203,-0.57523,1.097533,1.093453,1.391299,-0.000555,-0.001452,0.000278
2023-02-03 20:25:00+00:00,1.07986,1.07993,1.07972,1.07984,1052.0,4,3,5,2,2023,20,-0.866025,0.5,5,0.5,-0.866025,0,1,0,EURUSD,-1.5909090909090793,-1.6088631984585504,-1.6054955839057499,-1.5853423336547792,-1.665544,1.081467,1.079708,-1.908203,-0.576267,1.097533,1.093453,1.391299,-0.000296,-0.001406,0.000194
2023-02-03 20:30:00+00:00,1.07985,1.0801,1.07973,1.07974,930.0,4,3,5,2,2023,20,-0.866025,0.5,6,0.0,-1.0,0,1,0,EURUSD,-1.5918762088974745,-1.592485549132931,-1.6045142296368624,-1.5949855351976794,-1.659621,1.081433,1.079602,-1.925146,-0.577301,1.097533,1.093453,1.391299,-0.000426,-0.001119,0.000343
2023-02-03 20:35:00+00:00,1.07974,1.07992,1.0796,1.07971,1076.0,4,3,5,2,2023,20,-0.866025,0.5,7,-0.5,-0.866025,0,1,0,EURUSD,-1.6025145067698219,-1.6098265895953574,-1.6172718351324562,-1.5978784956605523,-1.653698,1.081374,1.079515,-1.930239,-0.578331,1.097533,1.093453,1.391299,-0.000324,-0.001461,0.000296
2023-02-03 20:40:00+00:00,1.07974,1.07982,1.07951,1.07955,1331.0,4,3,5,2,2023,20,-0.866025,0.5,8,-0.866025,-0.5,0,1,0,EURUSD,-1.6025145067698219,-1.6194605009633705,-1.6261040235524717,-1.6133076181292125,-1.650736,1.081322,1.079411,-1.957438,-0.579357,1.097533,1.093453,1.391299,-0.0005,-0.001249,0.000287
2023-02-03 20:45:00+00:00,1.07956,1.0796,1.0793,1.07933,931.0,4,3,5,2,2023,20,-0.866025,0.5,9,-1.0,-0.0,0,1,0,EURUSD,-1.6199226305609074,-1.6406551059730248,-1.6467124631991936,-1.6345226615236328,-1.656659,1.081284,1.079276,-1.994804,-0.58038,1.097533,1.093453,1.391299,-0.000472,-0.001536,0.000278
2023-02-03 20:50:00+00:00,1.07935,1.07965,1.07931,1.07955,1245.0,4,3,5,2,2023,20,-0.866025,0.5,10,-0.866025,0.5,0,1,0,EURUSD,-1.640232108317207,-1.635838150289004,-1.645731108930292,-1.6133076181292125,-1.656659,1.081202,1.079213,-1.947355,-0.581399,1.097533,1.093453,1.391299,-0.000269,-0.001471,0.000315
2023-02-03 20:55:00+00:00,1.07955,1.07955,1.07929,1.07931,1060.0,4,3,5,2,2023,20,-0.866025,0.5,11,-0.5,0.866025,0,1,0,EURUSD,-1.6208897485493168,-1.645472061657017,-1.6476938174680669,-1.6364513018321958,-1.656659,1.081128,1.079121,-1.988213,-0.582415,1.097533,1.093453,1.391299,-0.000398,-0.00172,0.000241
2023-02-03 21:00:00+00:00,1.07935,1.07976,1.0793,1.07976,638.0,4,3,5,2,2023,21,-0.707107,0.707107,0,0.0,1.0,0,0,0,EURUSD,-1.640232108317207,-1.625240847784184,-1.6467124631991936,-1.593056894889088,-1.632967,1.081064,1.079096,-1.891288,-0.583427,1.097533,1.093453,1.391299,4.6e-05,-0.001249,0.000426
2023-02-03 21:05:00+00:00,1.07976,1.07994,1.07976,1.07991,310.0,4,3,5,2,2023,21,-0.707107,0.707107,1,0.5,0.866025,0,0,0,EURUSD,-1.6005802707930172,-1.6078998073217718,-1.6015701668301858,-1.5785920925747376,-1.585582,1.080972,1.079104,-1.859089,-0.584436,1.097533,1.093453,1.391299,0.000333,-0.001064,0.000167
2023-02-03 21:10:00+00:00,1.07989,1.07994,1.07976,1.07991,304.0,4,3,5,2,2023,21,-0.707107,0.707107,2,0.866025,0.5,0,0,0,EURUSD,-1.5880077369438936,-1.6078998073217718,-1.6015701668301858,-1.5785920925747376,-1.520429,1.080868,1.079124,-1.859089,-0.585441,1.097533,1.093453,1.391299,0.000537,-0.001008,0.000167
2023-02-03 21:15:00+00:00,1.07991,1.07996,1.07981,1.07994,393.0,4,3,5,2,2023,21,-0.707107,0.707107,3,1.0,0.0,0,0,0,EURUSD,-1.5860735009671174,-1.6059730250481579,-1.5966633954857485,-1.5756991321118647,-1.443429,1.080725,1.079176,-1.852618,-0.586443,1.097533,1.093453,1.391299,0.000361,-0.000953,0.000139
2023-02-03 21:20:00+00:00,1.07994,1.08006,1.07987,1.07991,292.0,4,3,5,2,2023,21,-0.707107,0.707107,4,0.866025,-0.5,0,0,0,EURUSD,-1.5831721470019318,-1.5963391136801306,-1.5907752698723812,-1.5785920925747376,-1.363467,1.080617,1.079211,-1.857809,-0.587441,1.097533,1.093453,1.391299,0.000556,-0.000685,0.000176
2023-02-03 21:25:00+00:00,1.07991,1.07995,1.07966,1.07984,419.0,4,3,5,2,2023,21,-0.707107,0.707107,5,0.5,-0.866025,0,0,0,EURUSD,-1.5860735009671174,-1.6069364161849649,-1.611383709519103,-1.5853423336547792,-1.283506,1.080466,1.079275,-1.869948,-0.588436,1.097533,1.093453,1.391299,7.4e-05,-0.000842,0.000269
2023-02-03 21:30:00+00:00,1.07983,1.07985,1.07949,1.07955,630.0,4,3,5,2,2023,21,-0.707107,0.707107,6,0.0,-1.0,0,0,0,EURUSD,-1.593810444874265,-1.616570327552978,-1.6280667320902467,-1.6133076181292125,-1.218352,1.080404,1.07926,-1.920204,-0.589427,1.097533,1.093453,1.391299,-0.000333,-0.00111,0.000333
2023-02-03 21:35:00+00:00,1.07954,1.07969,1.07942,1.07959,313.0,4,3,5,2,2023,21,-0.707107,0.707107,7,-0.5,-0.866025,0,0,0,EURUSD,-1.621856866537712,-1.6319845857417903,-1.6349362119724873,-1.609450337512044,-1.162083,1.080293,1.079286,-1.91147,-0.590415,1.097533,1.093453,1.391299,-0.000296,-0.001166,0.00025
2023-02-03 21:40:00+00:00,1.07959,1.0796,1.0794,1.07941,379.0,4,3,5,2,2023,21,-0.707107,0.707107,8,-0.866025,-0.5,0,0,0,EURUSD,-1.617021276595736,-1.6406551059730248,-1.6368989205102764,-1.6268081002892956,-1.120622,1.080251,1.079253,-1.942713,-0.591399,1.097533,1.093453,1.391299,-0.000491,-0.001138,0.000185
2023-02-03 21:45:00+00:00,1.07943,1.07949,1.07924,1.07928,297.0,4,3,5,2,2023,21,-0.707107,0.707107,9,-1.0,-0.0,0,0,0,EURUSD,-1.6324951644100594,-1.6512524084778164,-1.6526005888125326,-1.6393442622950687,-1.093968,1.080201,1.079211,-1.965274,-0.59238,1.097533,1.093453,1.391299,-0.000583,-0.001323,0.000232
2023-02-03 21:50:00+00:00,1.07927,1.07937,1.07924,1.07932,667.0,4,3,5,2,2023,21,-0.707107,0.707107,10,-0.866025,0.5,0,0,0,EURUSD,-1.6479690522243686,-1.6628131021194577,-1.6526005888125326,-1.6354869816779,-1.073237,1.080163,1.079175,-1.956463,-0.593358,1.097533,1.093453,1.391299,-0.000482,-0.000926,0.00012
2023-02-03 21:55:00+00:00,1.07928,1.07952,1.07927,1.07929,1197.0,4,3,5,2,2023,21,-0.707107,0.707107,11,-0.5,0.866025,0,0,0,EURUSD,-1.6470019342359592,-1.6483622350674239,-1.649656526005856,-1.638379942140773,-1.055468,1.080109,1.079149,-1.961697,-0.594332,1.097533,1.093453,1.391299,-0.000241,-0.001064,0.000232
2023-02-05 22:00:00+00:00,1.0782,1.07847,1.07817,1.07847,32.0,6,5,5,2,2023,22,-0.5,0.866025,0,0.0,1.0,0,0,0,EURUSD,-1.7514506769825715,-1.7495183044315752,-1.75760549558386,-1.7174541947926656,-1.076199,1.080256,1.078865,-2.103819,-0.595303,1.097533,1.093453,1.391299,-0.001037,-0.001565,0.000278
