time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2024-07-19 19:20:00+00:00,1.08807,1.08811,1.08798,1.08802,612.0,4,19,29,7,2024,19,-0.965926,0.258819,4,0.866025,-0.5,0,1,0,EURUSD,-0.7969052224371183,-0.8208092485549088,-0.794896957801754,-0.796528447444544,-0.439469,1.088525,1.087574,-0.934161,0.317165,1.088866,1.090825,-1.247918,0.000147,-0.000165,0.000119
2024-07-19 19:25:00+00:00,1.08802,1.08802,1.0879,1.08794,632.0,4,19,29,7,2024,19,-0.965926,0.258819,5,0.5,-0.866025,0,1,0,EURUSD,-0.8017408123791085,-0.8294797687861148,-0.8027477919528678,-0.8042430086788812,-0.415777,1.088464,1.087585,-0.971849,0.319119,1.08886,1.090815,-1.251525,-0.000211,-0.000221,0.00011
2024-07-19 19:30:00+00:00,1.08793,1.08797,1.08785,1.08791,520.0,4,19,29,7,2024,19,-0.965926,0.258819,6,0.0,-1.0,0,1,0,EURUSD,-0.8104448742746513,-0.8342967244701072,-0.8076545632973335,-0.8071359691417541,-0.398008,1.088426,1.087583,-0.985986,0.321271,1.088854,1.090805,-1.255904,-7.4e-05,-0.000377,0.00011
2024-07-19 19:35:00+00:00,1.08792,1.08798,1.08781,1.08786,333.0,4,19,29,7,2024,19,-0.965926,0.258819,7,-0.5,-0.866025,0,1,0,EURUSD,-0.8114119922630465,-0.8333333333333286,-0.8115799803728976,-0.8119575699132042,-0.3832,1.088362,1.087594,-1.009572,0.323579,1.088847,1.090794,-1.25745,-5.5e-05,-0.000551,0.000156
2024-07-19 19:40:00+00:00,1.08787,1.08792,1.08781,1.08789,718.0,4,19,29,7,2024,19,-0.965926,0.258819,8,-0.866025,-0.5,0,1,0,EURUSD,-0.8162475822050368,-0.8391136801541279,-0.8115799803728976,-0.8090646094503313,-0.368393,1.088309,1.087605,-0.993565,0.325879,1.088841,1.090785,-1.257192,-0.000147,-0.00045,0.000101
2024-07-19 19:45:00+00:00,1.0879,1.08796,1.08786,1.08787,797.0,4,19,29,7,2024,19,-0.965926,0.258819,9,-1.0,-0.0,0,1,0,EURUSD,-0.8133462282398227,-0.8352601156069284,-0.8066732090284319,-0.8109932497589227,-0.356546,1.088234,1.087632,-1.003046,0.327972,1.088834,1.090775,-1.260026,-0.000138,-0.000524,9.2e-05
2024-07-19 19:50:00+00:00,1.08787,1.08787,1.08775,1.0878,746.0,4,19,29,7,2024,19,-0.965926,0.258819,10,-0.866025,0.5,0,1,0,EURUSD,-0.8162475822050368,-0.8439306358381486,-0.8174681059862365,-0.8177434908389358,-0.350623,1.088192,1.087634,-1.036256,0.330513,1.088828,1.090765,-1.268784,-0.000129,-0.000469,0.00011
2024-07-19 19:55:00+00:00,1.08779,1.08794,1.08769,1.08793,311.0,4,19,29,7,2024,19,-0.965926,0.258819,11,-0.5,0.866025,0,1,0,EURUSD,-0.8239845261121701,-0.8371868978805423,-0.8233562315995755,-0.8052073288331627,-0.338777,1.088163,1.087643,-0.966524,0.332694,1.088822,1.090755,-1.267754,1.8e-05,-0.000423,0.00023
2024-07-19 20:00:00+00:00,1.08793,1.08802,1.0879,1.08796,408.0,4,19,29,7,2024,20,-0.866025,0.5,0,0.0,1.0,0,1,0,EURUSD,-0.8104448742746513,-0.8294797687861148,-0.8027477919528678,-0.8023143683702898,-0.321008,1.088157,1.087644,-0.950453,0.334468,1.088815,1.090745,-1.269815,9.2e-05,-0.000322,0.00011
2024-07-19 20:05:00+00:00,1.08797,1.08805,1.08797,1.08803,248.0,4,19,29,7,2024,20,-0.866025,0.5,1,0.5,0.866025,0,1,0,EURUSD,-0.8065764023210704,-0.8265895953757223,-0.7958783120706272,-0.7955641272902483,-0.300277,1.088159,1.087643,-0.912938,0.336086,1.088809,1.090735,-1.270072,0.000129,-0.000294,7.4e-05
