time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2022-12-23 20:20:00+00:00,1.06176,1.06191,1.06167,1.06178,323.0,4,23,51,12,2022,20,-0.866025,0.5,4,0.866025,-0.5,0,1,0,EURUSD,-3.34139264990327,-3.3448940269749414,-3.3768400392541196,-3.3269045323047237,0.007722,1.062183,1.060782,0.144713,-1.48689,1.060918,1.061355,0.285121,-0.000235,0.000273,0.000226
2022-12-23 20:25:00+00:00,1.06177,1.06184,1.06147,1.06147,305.0,4,23,51,12,2022,20,-0.866025,0.5,5,0.5,-0.866025,0,1,0,EURUSD,-3.3404255319148746,-3.3516377649325477,-3.39646712463194,-3.3567984570877627,0.025491,1.062176,1.060829,0.066121,-1.487227,1.060923,1.061356,0.287182,-0.000452,-0.000235,0.000349
2022-12-23 20:30:00+00:00,1.06148,1.06158,1.06139,1.0615,292.0,4,23,51,12,2022,20,-0.866025,0.5,6,0.0,-1.0,0,1,0,EURUSD,-3.3684719535783216,-3.3766859344893874,-3.4043179587830537,-3.3539054966248614,0.031414,1.062171,1.060871,0.073668,-1.487395,1.060928,1.061356,0.281257,-0.000414,-0.000179,0.000179
2022-12-23 20:35:00+00:00,1.0615,1.06155,1.06132,1.06138,444.0,4,23,51,12,2022,20,-0.866025,0.5,7,-0.5,-0.866025,0,1,0,EURUSD,-3.366537717601517,-3.37957610789978,-3.4111874386652943,-3.365477338476367,0.02253,1.062135,1.060953,0.04323,-1.487416,1.060934,1.061356,0.280484,-0.000311,-0.000348,0.000217
2022-12-23 20:40:00+00:00,1.06139,1.06147,1.06132,1.06134,466.0,4,23,51,12,2022,20,-0.866025,0.5,8,-0.866025,-0.5,0,1,0,EURUSD,-3.3771760154738644,-3.3872832369942074,-3.4111874386652943,-3.369334619093536,0.00476,1.062112,1.061004,0.033074,-1.487437,1.060939,1.061356,0.274559,-0.000405,0.000292,0.000141
2022-12-23 20:45:00+00:00,1.06132,1.06162,1.06131,1.06162,324.0,4,23,51,12,2022,20,-0.866025,0.5,9,-1.0,-0.0,0,1,0,EURUSD,-3.383945841392631,-3.3728323699421736,-3.412168792934196,-3.342333654773384,-0.007086,1.062108,1.061049,0.103916,-1.487785,1.060946,1.061356,0.275589,-0.000151,0.000518,0.000292
2022-12-23 20:50:00+00:00,1.06161,1.06164,1.06136,1.06162,523.0,4,23,51,12,2022,20,-0.866025,0.5,10,-0.866025,0.5,0,1,0,EURUSD,-3.355899419729198,-3.370905587668574,-3.4072620215897302,-3.342333654773384,-0.01597,1.062108,1.061081,0.103916,-1.488176,1.060952,1.061357,0.273528,0.000141,0.000462,0.000264
2022-12-23 20:55:00+00:00,1.06164,1.06178,1.0615,1.06164,279.0,4,23,51,12,2022,20,-0.866025,0.5,11,-0.5,0.866025,0,1,0,EURUSD,-3.3529980657640124,-3.357418111753347,-3.393523061825249,-3.3404050144648068,-0.01597,1.062109,1.06111,0.108988,-1.488872,1.060959,1.061358,0.272755,0.000132,0.000679,0.000264
2022-12-23 21:00:00+00:00,1.06162,1.06199,1.0616,1.06195,506.0,4,23,51,12,2022,21,-0.707107,0.707107,0,0.0,1.0,0,0,0,EURUSD,-3.354932301740803,-3.337186897880514,-3.383709519136346,-3.3105110896817678,-0.001163,1.06213,1.061164,0.187489,-1.490022,1.060967,1.061359,0.272498,0.000537,0.000839,0.000367
2022-12-23 21:05:00+00:00,1.06194,1.06194,1.06173,1.0618,511.0,4,23,51,12,2022,21,-0.707107,0.707107,1,0.5,0.866025,0,0,0,EURUSD,-3.323984526112156,-3.3420038535645062,-3.3709519136407664,-3.3249758919961323,0.019568,1.06213,1.061214,0.148849,-1.491169,1.060975,1.06136,0.273786,0.000433,0.000556,0.000198
