time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2022-11-13 22:00:00+00:00,1.03354,1.03411,1.0331,1.0334,225.0,6,13,45,11,2022,22,-0.5,0.866025,0,0.0,1.0,0,0,0,EURUSD,-6.070599613152794,-6.023121387283197,-6.180569185475875,-6.063645130183204,-0.12597,1.036302,1.034386,2.137582,2.462615,1.026965,1.016864,2.554367,-0.001912,-0.002288,0.000977
2022-11-13 22:05:00+00:00,1.03343,1.03362,1.0332,1.0332,76.0,6,13,45,11,2022,22,-0.5,0.866025,1,0.5,0.866025,0,0,0,EURUSD,-6.081237911025127,-6.07032755298647,-6.170755642786958,-6.082931533269047,-0.292365,1.036544,1.033884,2.100475,2.463412,1.027013,1.016919,2.543276,-0.002106,-0.002212,0.000407
2022-11-13 22:10:00+00:00,1.0332,1.0332,1.03141,1.03172,284.0,6,13,45,11,2022,22,-0.5,0.866025,2,0.866025,0.5,0,0,0,EURUSD,-6.103481624758217,-6.11078998073215,-6.346418056918452,-6.225650916104144,-0.556814,1.037028,1.032988,1.829424,2.461629,1.027055,1.016973,2.580417,-0.003535,-0.003785,0.001735
2022-11-13 22:15:00+00:00,1.03172,1.03186,1.03147,1.03147,149.0,6,13,45,11,2022,22,-0.5,0.866025,3,1.0,0.0,0,0,0,EURUSD,-6.24661508704061,-6.239884393063548,-6.340529931305085,-6.249758919961408,-0.877718,1.037346,1.032259,1.784251,2.459851,1.027096,1.017026,2.576032,-0.003776,-0.004161,0.000378
2022-11-13 22:20:00+00:00,1.03167,1.03238,1.03147,1.03159,178.0,6,13,45,11,2022,22,-0.5,0.866025,4,0.866025,-0.5,0,0,0,EURUSD,-6.2514506769825715,-6.189788053949854,-6.340529931305085,-6.238187078109931,-1.213478,1.0375,1.031713,1.801794,2.458654,1.027136,1.017079,2.582739,-0.00366,-0.004064,0.000882
2022-11-13 22:25:00+00:00,1.03159,1.03163,1.03156,1.03163,27.0,6,13,45,11,2022,22,-0.5,0.866025,5,0.5,-0.866025,0,0,0,EURUSD,-6.259187620889733,-6.262042389209981,-6.331697742885083,-6.234329797492762,-1.534383,1.037563,1.031264,1.807652,2.457461,1.027177,1.017131,2.567779,-0.001713,-0.004026,6.8e-05
2022-11-13 22:30:00+00:00,1.03168,1.03282,1.03151,1.03247,2204.0,6,13,45,11,2022,22,-0.5,0.866025,6,0.0,-1.0,0,0,0,EURUSD,-6.2504835589941905,-6.147398843930588,-6.336604514229549,-6.153326904532307,-1.783975,1.037504,1.031038,1.930057,2.457569,1.027222,1.017185,2.593829,-0.000707,-0.003253,0.001269
2022-11-13 22:35:00+00:00,1.03255,1.03256,1.03208,1.03211,546.0,6,13,45,11,2022,22,-0.5,0.866025,7,-0.5,-0.866025,0,0,0,EURUSD,-6.166344294003849,-6.172447013487442,-6.280667320902737,-6.188042430086782,-1.991968,1.037434,1.030781,1.864614,2.457677,1.027265,1.017238,2.600277,0.000378,-0.003351,0.000465
2022-11-13 22:40:00+00:00,1.03214,1.03223,1.03173,1.03201,518.0,6,13,45,11,2022,22,-0.5,0.866025,8,-0.866025,-0.5,0,0,0,EURUSD,-6.205996131528025,-6.204238921001888,-6.3150147203139255,-6.197685631629696,-2.161334,1.037335,1.030543,1.846454,2.457285,1.027309,1.017291,2.59744,0.000524,-0.00338,0.000484
2022-11-13 22:45:00+00:00,1.03203,1.03217,1.03162,1.03166,1550.0,6,13,45,11,2022,22,-0.5,0.866025,9,-1.0,-0.0,0,0,0,EURUSD,-6.216634429400372,-6.2100192678226875,-6.325809617271744,-6.231436837029889,-2.309901,1.037223,1.030283,1.782952,2.456738,1.027353,1.017343,2.604662,6.8e-05,-0.003699,0.000533
2022-11-13 22:50:00+00:00,1.03166,1.03177,1.03158,1.03173,78.0,6,13,45,11,2022,22,-0.5,0.866025,10,-0.866025,0.5,0,0,0,EURUSD,-6.252417794970967,-6.248554913294754,-6.329735034347308,-6.224686595949848,-2.428754,1.037064,1.030077,1.793224,2.456136,1.027396,1.017395,2.597698,9.7e-05,-0.003468,0.000184
2022-11-13 22:55:00+00:00,1.03173,1.03189,1.03156,1.03167,1203.0,6,13,45,11,2022,22,-0.5,0.866025,11,-0.5,0.866025,0,0,0,EURUSD,-6.2456479690522,-6.236994219653141,-6.331697742885083,-6.230472516875594,-2.520865,1.036868,1.029902,1.782307,2.455667,1.027439,1.017447,2.595893,-0.000775,-0.003583,0.00032
2022-11-13 23:00:00+00:00,1.03168,1.03258,1.0316,1.03221,2226.0,6,13,45,11,2022,23,-0.258819,0.965926,0,0.0,1.0,0,0,0,EURUSD,-6.2504835589941905,-6.170520231213828,-6.327772325809505,-6.178399228543867,-2.559493,1.036615,1.029838,1.861633,2.455949,1.027485,1.0175,2.606726,9.7e-05,-0.003062,0.000949
2022-11-13 23:05:00+00:00,1.03226,1.03236,1.03144,1.03161,1272.0,6,13,45,11,2022,23,-0.258819,0.965926,1,0.5,0.866025,0,0,0,EURUSD,-6.194390715667296,-6.191714836223468,-6.34347399411179,-6.236258437801354,-2.583263,1.03634,1.029736,1.752527,2.456002,1.027528,1.017552,2.614979,-0.000388,-0.003641,0.000892
2022-11-13 23:10:00+00:00,1.03159,1.032,1.03147,1.03176,1498.0,6,13,45,11,2022,23,-0.258819,0.965926,2,0.866025,0.5,0,0,0,EURUSD,-6.259187620889733,-6.226396917148321,-6.340529931305085,-6.221793635486975,-2.586235,1.036012,1.029702,1.774597,2.456055,1.027572,1.017604,2.61369,9.7e-05,-0.003496,0.000514
2022-11-13 23:15:00+00:00,1.03175,1.03202,1.0317,1.03186,2029.0,6,13,45,11,2022,23,-0.258819,0.965926,3,1.0,0.0,0,0,0,EURUSD,-6.243713733075424,-6.224470134874721,-6.317958783120602,-6.2121504339440605,-2.565435,1.035629,1.029733,1.789325,2.456129,1.027617,1.017655,2.6124,0.000126,-0.0034,0.00031
2022-11-13 23:20:00+00:00,1.03186,1.03292,1.03174,1.03286,2316.0,6,13,45,11,2022,23,-0.258819,0.965926,4,0.866025,-0.5,0,0,0,EURUSD,-6.233075435203077,-6.137764932562575,-6.314033366045038,-6.115718418514959,-2.476295,1.035219,1.029891,1.935533,2.457173,1.027665,1.017709,2.634066,0.001153,-0.002434,0.001142
2022-11-13 23:25:00+00:00,1.03286,1.03321,1.03236,1.03277,2493.0,6,13,45,11,2022,23,-0.258819,0.965926,5,0.5,-0.866025,0,0,0,EURUSD,-6.136363636363626,-6.109826589595343,-6.2531894013738025,-6.124397299903563,-2.345557,1.034739,1.03011,1.91909,2.458522,1.027713,1.017762,2.645414,0.000543,-0.002521,0.000823
2022-11-13 23:30:00+00:00,1.03281,1.03327,1.03265,1.03326,1489.0,6,13,45,11,2022,23,-0.258819,0.965926,6,0.0,-1.0,0,0,0,EURUSD,-6.141199226305588,-6.10404624277453,-6.224730127575953,-6.077145612343287,-2.170248,1.034221,1.030416,1.990201,2.459931,1.027764,1.017816,2.646704,0.001599,-0.002048,0.0006
2022-11-13 23:35:00+00:00,1.03326,1.03341,1.03281,1.03306,1775.0,6,13,45,11,2022,23,-0.258819,0.965926,7,-0.5,-0.866025,0,0,0,EURUSD,-6.097678916827832,-6.090558766859317,-6.209028459273696,-6.096432015429116,-1.980083,1.033508,1.030897,1.953546,2.461485,1.027817,1.017869,2.634839,0.00126,-0.002241,0.000581
2022-11-13 23:40:00+00:00,1.03311,1.03316,1.03271,1.03296,1622.0,6,13,45,11,2022,23,-0.258819,0.965926,8,-0.866025,-0.5,0,0,0,EURUSD,-6.11218568665376,-6.1146435452793355,-6.218842001962614,-6.106075216972016,-1.789917,1.033414,1.030947,1.935208,2.462888,1.027869,1.017922,2.637419,0.001066,-0.002337,0.000436
2022-11-13 23:45:00+00:00,1.03296,1.03328,1.03296,1.03311,1217.0,6,13,45,11,2022,23,-0.258819,0.965926,9,-1.0,-0.0,0,0,0,EURUSD,-6.12669245647966,-6.103082851637723,-6.194308145240328,-6.091610414657666,-1.599752,1.033394,1.030958,1.957085,2.464415,1.027922,1.017975,2.635613,0.000242,-0.002192,0.00031
2022-11-13 23:50:00+00:00,1.03312,1.03315,1.03291,1.03297,1255.0,6,13,45,11,2022,23,-0.258819,0.965926,10,-0.866025,0.5,0,0,0,EURUSD,-6.11121856866535,-6.1156069364161425,-6.199214916584793,-6.105110896817749,-1.421472,1.033486,1.030991,1.931302,2.465864,1.027973,1.018029,2.628133,0.000194,-0.002328,0.000232
