time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2024-02-23 20:20:00+00:00,1.08213,1.08218,1.08203,1.08203,404.0,4,23,8,2,2024,20,-0.866025,0.5,4,0.866025,-0.5,0,1,0,EURUSD,-1.3713733075435073,-1.3921001926782282,-1.378802747791923,-1.374156219864986,-0.220427,1.082818,1.081839,-0.10371,-0.8579,1.08252,1.082815,-1.097209,-0.00024,-0.000425,0.000139
2024-02-23 20:25:00+00:00,1.08203,1.08208,1.08187,1.08195,847.0,4,23,8,2,2024,20,-0.866025,0.5,5,0.5,-0.866025,0,1,0,EURUSD,-1.3810444874274452,-1.4017341040462412,-1.3945044160941649,-1.3818707810993232,-0.241157,1.082739,1.081829,-0.136302,-0.856507,1.082519,1.082816,-1.095919,-0.000416,-0.000794,0.000194
2024-02-23 20:30:00+00:00,1.08195,1.08198,1.08177,1.08177,890.0,4,23,8,2,2024,20,-0.866025,0.5,6,0.0,-1.0,0,1,0,EURUSD,-1.3887814313346212,-1.4113680154142543,-1.4043179587830963,-1.3992285438765748,-0.27077,1.082664,1.081798,-0.209424,-0.854748,1.082519,1.082816,-1.101076,-0.000444,-0.001043,0.000194
2024-02-23 20:35:00+00:00,1.08176,1.08194,1.08176,1.08189,770.0,4,23,8,2,2024,20,-0.866025,0.5,7,-0.5,-0.866025,0,1,0,EURUSD,-1.4071566731141019,-1.4152215799614538,-1.4052993130519695,-1.387656702025069,-0.300383,1.082604,1.081782,-0.159543,-0.852959,1.082518,1.082815,-1.10056,-0.000305,-0.000822,0.000166
2024-02-23 20:40:00+00:00,1.08189,1.08199,1.08187,1.08198,566.0,4,23,8,2,2024,20,-0.866025,0.5,8,-0.866025,-0.5,0,1,0,EURUSD,-1.3945841392649783,-1.4104046242774473,-1.3945044160941649,-1.3789778206364502,-0.324074,1.082542,1.081784,-0.122194,-0.851382,1.082518,1.082815,-1.101592,-0.000139,-0.000776,0.000111
2024-02-23 20:45:00+00:00,1.08198,1.08217,1.08198,1.08215,350.0,4,23,8,2,2024,20,-0.866025,0.5,9,-1.0,-0.0,0,1,0,EURUSD,-1.3858800773694355,-1.3930635838150067,-1.3837095191363886,-1.3625843780134943,-0.329997,1.082475,1.081811,-0.05185,-0.850551,1.082519,1.082816,-1.099529,0.000111,-0.000637,0.000176
2024-02-23 20:50:00+00:00,1.08215,1.08222,1.0821,1.08218,652.0,4,23,8,2,2024,20,-0.866025,0.5,10,-0.866025,0.5,0,1,0,EURUSD,-1.369439071566731,-1.3882466281310144,-1.3719332679096823,-1.3596914175506214,-0.327036,1.082432,1.081828,-0.039454,-0.849928,1.082519,1.082816,-1.099013,0.000213,-0.0006,0.000111
2024-02-23 20:55:00+00:00,1.08217,1.08227,1.08206,1.08223,603.0,4,23,8,2,2024,20,-0.866025,0.5,11,-0.5,0.866025,0,1,0,EURUSD,-1.3675048355899264,-1.3834296724469937,-1.3758586849852463,-1.354869816779157,-0.312229,1.082425,1.08183,-0.018763,-0.849511,1.082519,1.082817,-1.098498,0.000425,-0.000388,0.000194
2024-02-23 21:00:00+00:00,1.08223,1.08225,1.08215,1.08217,408.0,4,23,8,2,2024,21,-0.707107,0.707107,0,0.0,1.0,0,0,0,EURUSD,-1.3617021276595551,-1.3853564547206076,-1.3670264965652308,-1.360655737704903,-0.294461,1.082427,1.081831,-0.043509,-0.849096,1.08252,1.082818,-1.098498,0.000259,-0.000379,9.2e-05
2024-02-23 21:05:00+00:00,1.08217,1.08223,1.08213,1.08223,496.0,4,23,8,2,2024,21,-0.707107,0.707107,1,0.5,0.866025,0,0,0,EURUSD,-1.3675048355899264,-1.3872832369942074,-1.3689892051030057,-1.354869816779157,-0.273731,1.082437,1.081835,-0.018574,-0.848607,1.08252,1.08282,-1.097209,0.000231,-0.000296,9.2e-05
2024-02-23 21:10:00+00:00,1.08224,1.08225,1.08219,1.0822,361.0,4,23,8,2,2024,21,-0.707107,0.707107,2,0.866025,0.5,0,0,0,EURUSD,-1.36073500967116,-1.3853564547206076,-1.3631010794896667,-1.35776277724203,-0.250041,1.082437,1.081835,-0.031006,-0.848203,1.08252,1.082821,-1.097724,4.6e-05,-0.000222,5.5e-05
2024-02-23 21:15:00+00:00,1.0822,1.08221,1.08213,1.08219,259.0,4,23,8,2,2024,21,-0.707107,0.707107,3,1.0,0.0,0,0,0,EURUSD,-1.3646034816247408,-1.3892100192678214,-1.3689892051030057,-1.3587270973963257,-0.22635,1.08244,1.081836,-0.035161,-0.847572,1.08252,1.082822,-1.098498,9e-06,-8.3e-05,7.4e-05
2024-02-23 21:20:00+00:00,1.08217,1.08217,1.08208,1.08214,219.0,4,23,8,2,2024,21,-0.707107,0.707107,4,0.866025,-0.5,0,0,0,EURUSD,-1.3675048355899264,-1.3930635838150067,-1.3738959764474714,-1.3635486981677758,-0.205621,1.08244,1.081837,-0.055974,-0.846754,1.08252,1.082823,-1.097209,-8.3e-05,0.0,8.3e-05
2024-02-23 21:25:00+00:00,1.08215,1.08231,1.08215,1.08226,238.0,4,23,8,2,2024,21,-0.707107,0.707107,5,0.5,-0.866025,0,0,0,EURUSD,-1.369439071566731,-1.37957610789978,-1.3670264965652308,-1.3519768563162842,-0.184891,1.082453,1.081842,-0.005632,-0.846518,1.08252,1.082824,-1.095404,8.3e-05,0.000157,0.000148
