time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2023-09-17 21:00:00+00:00,1.06588,1.06608,1.06578,1.06585,44.0,6,17,37,9,2023,21,-0.707107,0.707107,0,0.0,1.0,0,0,0,EURUSD,-2.9429400386847107,-2.9431599229287,-2.9735034347398965,-2.9344262295081904,-0.36962,1.066239,1.065517,-0.622361,0.051433,1.065685,1.068014,-0.4613,8.4e-05,-7.5e-05,0.000281
2023-09-17 21:05:00+00:00,1.06593,1.0662,1.06589,1.06618,69.0,6,17,37,9,2023,21,-0.707107,0.707107,1,0.5,0.866025,0,0,0,EURUSD,-2.9381044487427346,-2.931599229287059,-2.962708537782092,-2.9026036644165885,-0.333964,1.066267,1.065505,-0.50589,0.048632,1.065692,1.068001,-0.461042,0.000394,0.000403,0.000291
2023-09-17 21:10:00+00:00,1.06618,1.0662,1.06601,1.06619,43.0,6,17,37,9,2023,21,-0.707107,0.707107,2,0.866025,0.5,0,0,0,EURUSD,-2.9139264990328826,-2.931599229287059,-2.9509322865553997,-2.9016393442622928,-0.286422,1.066279,1.065499,-0.502373,0.045841,1.0657,1.067989,-0.459236,0.000403,0.000291,0.000178
2023-09-17 21:15:00+00:00,1.06619,1.06619,1.06616,1.06617,32.0,6,17,37,9,2023,21,-0.707107,0.707107,3,1.0,0.0,0,0,0,EURUSD,-2.912959381044473,-2.93256262042388,-2.936211972522031,-2.90356798457087,-0.23591,1.066291,1.065494,-0.509002,0.04306,1.065708,1.067977,-0.460268,0.000385,0.0003,2.8e-05
2023-09-17 21:20:00+00:00,1.06618,1.06618,1.06614,1.06618,16.0,6,17,37,9,2023,21,-0.707107,0.707107,4,0.866025,-0.5,0,0,0,EURUSD,-2.9139264990328826,-2.933526011560687,-2.938174681059806,-2.9026036644165885,-0.185397,1.066289,1.065495,-0.505462,0.040346,1.065714,1.067964,-0.469037,0.000394,0.000319,3.8e-05
2023-09-17 21:25:00+00:00,1.06618,1.0662,1.06613,1.06619,11.0,6,17,37,9,2023,21,-0.707107,0.707107,5,0.5,-0.866025,0,0,0,EURUSD,-2.9139264990328826,-2.931599229287059,-2.9391560353286934,-2.9016393442622928,-0.134884,1.066299,1.06549,-0.501911,0.037579,1.065721,1.067952,-0.471101,0.000319,0.000159,6.6e-05
2023-09-17 21:30:00+00:00,1.06613,1.06622,1.06613,1.06621,37.0,6,17,37,9,2023,21,-0.707107,0.707107,6,0.0,-1.0,0,0,0,EURUSD,-2.9187620889748445,-2.9296724470134734,-2.9391560353286934,-2.8997107039537013,-0.084372,1.06629,1.065495,-0.494788,0.034756,1.065728,1.06794,-0.472648,2.8e-05,7.5e-05,8.4e-05
2023-09-17 21:35:00+00:00,1.06621,1.06643,1.06619,1.06627,85.0,6,17,37,9,2023,21,-0.707107,0.707107,7,-0.5,-0.866025,0,0,0,EURUSD,-2.9110251450676827,-2.9094412331406403,-2.9332679097153544,-2.8939247830279555,-0.03683,1.066344,1.065492,-0.473381,0.03127,1.065735,1.067927,-0.468521,7.5e-05,0.000159,0.000225
2023-09-17 21:40:00+00:00,1.06629,1.06632,1.0662,1.06621,75.0,6,17,37,9,2023,21,-0.707107,0.707107,8,-0.866025,-0.5,0,0,0,EURUSD,-2.903288201160535,-2.9200385356454603,-2.932286555446467,-2.8997107039537013,0.004768,1.066379,1.065502,-0.493587,0.027797,1.065742,1.067915,-0.467748,3.8e-05,1.9e-05,0.000113
2023-09-17 21:45:00+00:00,1.0662,1.06638,1.06616,1.06636,70.0,6,17,37,9,2023,21,-0.707107,0.707107,9,-1.0,-0.0,0,0,0,EURUSD,-2.911992263056078,-2.9142581888246326,-2.936211972522031,-2.885245901639337,0.049338,1.066438,1.065503,-0.439934,0.024143,1.065749,1.067903,-0.463363,0.000169,0.000206,0.000206
