Datetime,open,high,low,close,Volume,hour_sin,hour_cos,london_session,ny_session,overlap_session,return_5,fast_ma,mid_ma,slow_ma,rsi,fast_ts,mid_ts,slow_ts,fast_td,mid_td,slow_td,fast_mid_gap,mid_slow_gap,fast_slow_gap,atr_base,atr_norm,low_thr,high_thr,vol_low,vol_med,vol_high,momentum_score,mom_bearish,mom_neutral,mom_bullish,pre_news,post_news
2020-01-02 14:35:00+00:00,1.11767,1.11802,1.11767,1.1178,518.0,-0.5,-0.866025,1,1,1,-0.0007330460746276,1.1191718,1.1199354,1.12073475,28.295051,-0.0012257278105113,-0.0019067171195769,-0.0026185946317807,-1.0,-1.0,-1.0,-0.0006818250409802,-0.0007132374542681,-0.0013945761920918,0.0004135714285714,0.0003699869641898,0.0002237930955149,0.0002716840992954,0,0,1,-0.4340989799999999,1,0,0,0.0,0.0
2020-01-02 14:40:00+00:00,1.1178,1.11781,1.11712,1.11725,496.0,-0.5,-0.866025,1,1,1,-0.0012425802760495,1.1191266,1.1199016,1.1207153,23.167028,-0.0016768433526643,-0.0023677080200616,-0.0030920430906937,-1.0,-1.0,-1.0,-0.000692025085061,-0.0007260541548776,-0.0014175767922503,0.0004385714285714,0.0003925454719816,0.0002288634982547,0.0002728563358178,0,0,1,-0.53665944,1,0,0,0.0,0.0
2020-01-02 14:45:00+00:00,1.11727,1.11746,1.11712,1.11727,506.0,-0.5,-0.866025,1,1,1,-0.000769141334192,1.119083,1.1198688,1.1206965000000002,23.70849,-0.0016200764375833,-0.002320628987967,-0.0030574736335843,-1.0,-1.0,-1.0,-0.0007016893407511,-0.0007385585660348,-0.0014397296681127,0.0004392857142857,0.0003931777585415,0.0002318773794968,0.0002757921229349,0,0,1,-0.5258302,1,0,0,0.0,0.0
2020-01-02 14:50:00+00:00,1.11726,1.11745,1.11702,1.1172,620.0,-0.5,-0.866025,1,1,1,-0.0004920599418475,1.119039,1.1198363,1.12067735,23.095023,-0.0016433743596067,-0.0023541833748379,-0.0031029002236906,-1.0,-1.0,-1.0,-0.0007119790633685,-0.0007504836249255,-0.0014619283596658,0.0004357142857143,0.0003900056263107,0.0002339219658999,0.000278707055155,0,0,1,-0.5380995399999999,1,0,0,0.0,0.0
2020-01-02 14:55:00+00:00,1.1172,1.11751,1.11717,1.11741,506.0,-0.5,-0.866025,1,1,1,-0.0002415718273566,1.1189968,1.1198049,1.1206574,29.028095,-0.0014180558872017,-0.0021386761211708,-0.0028977634020888,-1.0,-1.0,-1.0,-0.0007216435648747,-0.0007607142022173,-0.0014818088025833,0.0004407142857143,0.0003944069640636,0.0002350335986244,0.0002800053973689,0,0,1,-0.4194381,1,0,0,0.0,0.0
2020-01-02 15:00:00+00:00,1.11741,1.11756,1.11714,1.11719,470.0,-0.707107,-0.707107,1,1,1,-0.0005457147969225,1.1189518,1.1197698,1.12063625,26.703824,-0.0015745092862803,-0.0023038663839658,-0.0030752619326744,-1.0,-1.0,-1.0,-0.0007305072881943,-0.0007731768448503,-0.0015031193217245,0.0004542857142857,0.0004066324566866,0.0002356040289552,0.0002823071073372,0,0,1,-0.46592352,1,0,0,0.0,0.0
2020-01-02 15:05:00+00:00,1.11717,1.11747,1.11715,1.11736,351.0,-0.707107,-0.707107,1,1,1,9.845603043179274e-05,1.1189024,1.1197363,1.12061595,31.282565,-0.0013784937810482,-0.0021221960920621,-0.0029055003188202,-1.0,-1.0,-1.0,-0.000744728915192,-0.0007849700872095,-0.00152911441248,0.0004535714285714,0.000405931327926,0.0002371661588467,0.0002841209729029,0,0,1,-0.3743487,1,0,0,0.0,0.0
2020-01-02 15:10:00+00:00,1.11737,1.11765,1.11736,1.11754,398.0,-0.707107,-0.707107,1,1,1,0.0002416604759816,1.118851,1.1197052,1.1205963,35.851937,-0.0011717377917167,-0.0019337232693034,-0.0027273871955492,-1.0,-1.0,-1.0,-0.0007628793721776,-0.000795201626134,-0.0015574743553943,0.0004428571428571,0.0003962785608185,0.0002398615817348,0.0002856289045018,0,0,1,-0.28296126,1,0,0,0.0,0.0
2020-01-02 15:15:00+00:00,1.11753,1.11781,1.11747,1.11775,499.0,-0.707107,-0.707107,1,1,1,0.0004923021840315,1.118802,1.1196757000000002,1.12057755,40.797977,-0.000940291490362,-0.0017198729953683,-0.002523297026609,-1.0,-1.0,-1.0,-0.0007803152287756,-0.0008048081991288,-0.0015844954238105,0.0004192857142857,0.000375115825798,0.0002414986983241,0.0002869584195511,0,0,1,-0.1840404599999999,1,0,0,0.0,0.0
2020-01-02 15:20:00+00:00,1.11775,1.11779,1.11735,1.11739,478.0,-0.707107,-0.707107,1,1,1,-1.7898533215099377e-05,1.1187488,1.1196404,1.1205569999999998,35.714237,-0.0012145711351824,-0.0020099310457177,-0.0028262730052997,-1.0,-1.0,-1.0,-0.000796327106453,-0.0008179860551492,-0.0016136617771337,0.00043,0.0003848253519362,0.0002418294292477,0.0002884049029838,0,0,1,-0.2857152600000001,1,0,0,0.0,0.0
2020-01-02 15:25:00+00:00,1.11737,1.11758,1.11711,1.1174,507.0,-0.707107,-0.707107,1,1,1,0.0001879716073363,1.1186972,1.1196058,1.1205364,35.952977,-0.0011595631060844,-0.0019701577108657,-0.0027990166138289,-1.0,-1.0,-1.0,-0.0008115356315589,-0.0008304951093065,-0.0016413567644924,0.0004335714285714,0.0003880181032499,0.0002418590295317,0.000291210965661,0,0,1,-0.28094046,1,0,0,0.0,0.0
2020-01-02 15:30:00+00:00,1.11739,1.1179,1.11725,1.11777,643.0,-0.707107,-0.707107,1,1,1,0.0003669363499678,1.1186598,1.1195756,1.1205176,44.208846,-0.0007954160862846,-0.0016127539757031,-0.0024520810739609,-1.0,-1.0,-1.0,-0.0008179885306541,-0.000840682912968,-0.0016579837746415,0.0004342857142857,0.0003885286904155,0.0002423030884173,0.0002954161905833,0,0,1,-0.1158230799999999,1,0,0,0.0,0.0
